l;Destination;Channel;AdvanceDays;TicketWeekday;DepartureWeekday;Fare;miles
DTW;ATL;Offline;84;Monday;Monday;82.79;596
DTW;ATL;Offline;46;Tuesday;Saturday;82.79;596
DTW;ATL;Offline;32;Monday;Friday;144.2061111;596
DTW;ATL;Offline;16;Friday;Sunday;141.8575;596
DTW;ATL;Orbitz;10;Sunday;Wednesday;266.72;596
DTW;ATL;Offline;77;Thursday;Thursday;92.1;596
DTW;ATL;Offline;14;Saturday;Saturday;90.232;596
DTW;ATL;Offline;24;Thursday;Sunday;110.5416667;596
DTW;ATL;Offline;12;Wednesday;Monday;144.3475;596
DTW;ATL;Orbitz;45;Monday;Thursday;218.18;596
DTW;ATL;Online Other;18;Friday;Tuesday;120;596
DTW;ATL;Offline;62;Sunday;Saturday;96.74;596
DTW;ATL;Offline;96;Friday;Wednesday;82.79;596
DTW;ATL;Offline;56;Tuesday;Tuesday;87.44;596
DTW;ATL;Offline;49;Friday;Friday;146.5125;596
DTW;ATL;Offline;34;Thursday;Wednesday;136.134;596
DTW;ATL;Offline;40;Thursday;Tuesday;84.65;596
DTW;ATL;Orbitz;18;Friday;Tuesday;73.48;596
DTW;ATL;Orbitz;32;Monday;Friday;157.21;596
DTW;ATL;Online Other;12;Wednesday;Monday;141.8625;596
DTW;ATL;Offline;172;Thursday;Monday;92.09;596
DTW;ATL;Expedia;36;Monday;Tuesday;80.47;596
DTW;ATL;Expedia;21;Saturday;Saturday;106.05;596
DTW;ATL;Expedia;6;Tuesday;Monday;229.39;596
DTW;ATL;Offline;58;Tuesday;Thursday;129.3;596
DTW;ATL;Offline;84;Thursday;Thursday;89.765;596
DTW;ATL;Offline;53;Tuesday;Saturday;77.21;596
DTW;ATL;Offline;38;Wednesday;Saturday;80.465;596
DTW;ATL;Offline;22;Friday;Saturday;111.6166667;596
DTW;ATL;Orbitz;12;Wednesday;Monday;193.48;596
DTW;ATL;Travelocity;40;Thursday;Tuesday;78.14;596
DTW;ATL;Offline;25;Friday;Tuesday;116.79;596
DTW;ATL;Offline;2;Sunday;Tuesday;195.433;596
DTW;ATL;Offline;64;Sunday;Monday;87.44;596
DTW;ATL;Offline;63;Tuesday;Tuesday;96.74;596
DTW;ATL;Travelocity;34;Thursday;Wednesday;110.235;596
DTW;ATL;Offline;47;Tuesday;Sunday;86.03142857;596
DTW;ATL;Offline;56;Friday;Friday;119.9966667;596
DTW;ATL;Offline;26;Monday;Saturday;99.53333333;596
DTW;ATL;Offline;41;Monday;Sunday;129.3;596
DTW;ATL;Expedia;2;Wednesday;Friday;212.25;596
DTW;ATL;Offline;23;Monday;Wednesday;111.6857143;596
DTW;ATL;Offline;19;Wednesday;Monday;127.9346667;596
DTW;ATL;Offline;91;Thursday;Thursday;92.1;596
DTW;ATL;Offline;41;Thursday;Wednesday;108.5266667;596
DTW;ATL;Offline;43;Monday;Tuesday;126.3975;596
DTW;ATL;Online Other;47;Tuesday;Sunday;138.6;596
DTW;ATL;Offline;36;Thursday;Friday;78.14;596
DTW;ATL;Offline;60;Tuesday;Saturday;87.44;596
DTW;ATL;Expedia;2;Saturday;Monday;143.26;596
DTW;ATL;Expedia;2;Monday;Wednesday;194.42;596
DTW;ATL;Offline;54;Sunday;Friday;127.1;596
DTW;ATL;Offline;2;Saturday;Monday;193.6716667;596
DTW;ATL;Travelocity;91;Thursday;Thursday;96.74;596
DTW;ATL;Expedia;5;Friday;Wednesday;146.3533333;596
DTW;ATL;Expedia;98;Thursday;Thursday;82.79;596
DTW;ATL;Offline;29;Friday;Saturday;100.93;596
DTW;ATL;Offline;54;Thursday;Tuesday;85.58;596
DTW;ATL;Offline;32;Friday;Tuesday;128.165;596
DTW;ATL;Offline;98;Thursday;Thursday;82.79;596
DTW;ATL;Offline;2;Monday;Wednesday;194.5744384;596
DTW;ATL;Orbitz;19;Wednesday;Monday;143.26;596
DTW;ATL;Online Other;13;Friday;Thursday;166.51;596
DTW;ATL;Expedia;13;Tuesday;Monday;117.6733333;596
DTW;ATL;Expedia;61;Sunday;Friday;147.91;596
DTW;ATL;Orbitz;2;Saturday;Monday;626.51;596
DTW;ATL;Offline;24;Tuesday;Friday;129.86;596
DTW;ATL;Travelocity;36;Thursday;Friday;78.14;596
DTW;ATL;Offline;46;Monday;Friday;150.235;596
DTW;ATL;Offline;67;Tuesday;Saturday;73.49;596
DTW;ATL;Offline;65;Saturday;Monday;147.91;596
DTW;ATL;Online Other;30;Friday;Sunday;138.6;596
DTW;ATL;Orbitz;35;Saturday;Saturday;97.21;596
DTW;ATL;Travelocity;2;Wednesday;Friday;203.72;596
DTW;ATL;Offline;66;Monday;Thursday;77.89;596
DTW;ATL;Expedia;26;Wednesday;Monday;120;596
DTW;ATL;Orbitz;81;Monday;Friday;96.74;596
DTW;ATL;Offline;9;Saturday;Monday;124.94;596
DTW;ATL;Expedia;9;Wednesday;Friday;124.655;596
DTW;ATL;Orbitz;2;Monday;Wednesday;191.32;596
DTW;ATL;Offline;70;Friday;Friday;110.7;596
DTW;ATL;Offline;42;Saturday;Saturday;77.675;596
DTW;ATL;Orbitz;24;Tuesday;Friday;141.3966667;596
DTW;ATL;Offline;39;Friday;Tuesday;123.1;596
DTW;ATL;Offline;82;Saturday;Thursday;87.445;596
DTW;ATL;Offline;68;Sunday;Friday;92.1;596
DTW;ATL;Offline;55;Thursday;Wednesday;126.975;596
DTW;ATL;Offline;4;Thursday;Monday;184.2107595;596
DTW;ATL;Offline;74;Tuesday;Saturday;84.175;596
DTW;ATL;Travelocity;9;Saturday;Monday;104.88;596
DTW;ATL;Offline;57;Monday;Tuesday;154.88;596
DTW;ATL;Expedia;9;Monday;Wednesday;73.48;596
DTW;ATL;Offline;53;Monday;Friday;96.74;596
DTW;ATL;Offline;16;Saturday;Monday;129.3033333;596
DTW;ATL;Offline;25;Monday;Friday;136.556;596
DTW;ATL;Offline;73;Monday;Thursday;88.605;596
DTW;ATL;Travelocity;68;Thursday;Tuesday;129.3;596
DTW;ATL;Offline;79;Tuesday;Thursday;82.79;596
DTW;ATL;Offline;9;Monday;Wednesday;162.4692857;596
DTW;ATL;Offline;126;Thursday;Thursday;92.09;596
DTW;ATL;Offline;46;Friday;Tuesday;128.01;596
DTW;ATL;Offline;77;Friday;Friday;92.1;596
DTW;ATL;Offline;75;Sunday;Friday;137.01;596
DTW;ATL;Offline;133;Thursday;Thursday;92.09;596
DTW;ATL;Online Other;16;Saturday;Monday;143.26;596
DTW;ATL;Offline;62;Thursday;Wednesday;88.605;596
DTW;ATL;Orbitz;49;Saturday;Saturday;87.44;596
DTW;ATL;Orbitz;9;Wednesday;Friday;143.26;596
DTW;ATL;Orbitz;79;Tuesday;Thursday;59.54;596
DTW;ATL;Offline;23;Saturday;Monday;107.2075;596
DTW;ATL;Offline;161;Thursday;Thursday;76.21;596
DTW;ATL;Orbitz;59;Wednesday;Saturday;87.44;596
DTW;ATL;Offline;11;Saturday;Wednesday;156.9126667;596
DTW;ATL;Travelocity;9;Wednesday;Friday;118.4533333;596
DTW;ATL;Offline;53;Friday;Tuesday;82.79;596
DTW;ATL;Online Other;33;Wednesday;Monday;123.72;596
DTW;ATL;Offline;82;Thursday;Tuesday;82.79;596
DTW;ATL;Offline;80;Monday;Thursday;110.7;596
DTW;ATL;Offline;57;Wednesday;Thursday;147.91;596
DTW;ATL;Expedia;2;Tuesday;Thursday;185.12;596
DTW;ATL;Online Other;23;Saturday;Monday;141.83;596
DTW;ATL;Online Other;5;Saturday;Thursday;174.05;596
DTW;ATL;Offline;84;Friday;Friday;96.74;596
DTW;ATL;Expedia;16;Monday;Wednesday;73.48;596
DTW;ATL;Offline;69;Monday;Sunday;96.74;596
DTW;ATL;Expedia;69;Thursday;Wednesday;143.26;596
DTW;ATL;Travelocity;20;Tuesday;Monday;145.44;596
DTW;ATL;Offline;2;Tuesday;Thursday;199.5527879;596
DTW;ATL;Orbitz;53;Friday;Tuesday;159.53;596
DTW;ATL;Expedia;6;Wednesday;Tuesday;171.16;596
DTW;ATL;Offline;69;Thursday;Wednesday;86.392;596
DTW;ATL;Offline;16;Monday;Wednesday;129.305;596
DTW;ATL;Offline;60;Friday;Tuesday;93.775;596
DTW;ATL;Offline;6;Wednesday;Tuesday;173.2569206;596
DTW;ATL;Travelocity;50;Tuesday;Wednesday;73.49;596
DTW;ATL;Online Other;11;Thursday;Monday;147.91;596
DTW;ATL;Online Other;30;Saturday;Monday;141.83;596
DTW;ATL;Offline;40;Wednesday;Monday;111.9166667;596
DTW;ATL;Online Other;2;Tuesday;Thursday;215.898;596
DTW;ATL;Offline;2;Thursday;Saturday;201.22375;596
DTW;ATL;Offline;64;Wednesday;Thursday;82.79;596
DTW;ATL;Orbitz;69;Thursday;Wednesday;96.74;596
DTW;ATL;Offline;41;Wednesday;Tuesday;67.91;596
DTW;ATL;Online Other;6;Friday;Thursday;139.69;596
DTW;ATL;Online Other;6;Wednesday;Tuesday;115.35;596
DTW;ATL;Offline;37;Saturday;Monday;120;596
